SKU,Location, QTY , Line ,Weight,depth,height,Vol
2174100-1,A2-4-5-1,900,1,20,30,1,678.83
1746757-2,J2-5-46-2,900,2,19,24,0,182
174967-2,F1-4-52-2,900,1,22,29,2,"1,113"
2391888-1,M1-0-3-2,900,1,22,28,1,741
3-641535-3,M2-4-40-2,900,1, -   , -   , -   , -   
2174100-1,A2-4-5-1,900,1,22,28,1,659
6565199-3,A2-5-52-2,900,2,11,17,1,187
1827617-1,C1-2-60-1,900,12,15,23,0,35
1355437-2,I2-5-44-2,900,1,15,23,2,544
1939403-3,B1-1-22-1,900,1,17,25,3,"1,169"
1612035-2,B2-4-16-1,900,4, -   , -   , -   , -   
1565598-4,C2-0-42-1,900,3,14,21,2,722
1-917808-2,B2-3-45-1,900,2,16,24,4,"1,367"
2292496-2,A2-4-6-1,900,1,15,23,0,35
2292496-2,A2-4-6-1,900,1,14,21,0,29
1674298-1,A2-4-46-1,900,6, -   , -   , -   , -   
2201289-1,C1-0-33-1,900,4,16,25,3,980
2229994-2,A2-3-48-1,900,1, -   , -   , -   , -   
2174126-1,B2-0-2-2,900,1,15,23,2,727
590760-000,N2-1-37-1,900,1,15,23,0,35
2261071-1,A2-4-39-1,900,2,21,29,2,"1,403"
1903876-1,A2-5-6-1,900,4,22,28,1,298
2260992-3,B1-1-46-2,900,7,15,23,0,35
173633-1,J2-4-49-2,899,3,17,24,4,"1,632"
2232905-1,F2-4-57-2,899,1,14,21,1,363
1939349-1,B1-1-59-1,899,2,15,23,2,544
1123343-1,B1-3-21-1,899,12,19,26,6,"2,696"
3-1447221-4,B1-0-12-2,899,20,16,24,3,"1,185"
173633-2,B1-3-9-1,899,3,18,25,3,"1,284"
1318105-1,B2-3-33-2,899,1,11,17,1,240
1376109-1,B1-2-37-1,899,3,15,23,0,35
2040009-1,C2-4-41-2,899,2,12,20,1,192
1-1827864-4,C1-4-8-1,899,1,14,23,2,712
1-1423008-4,B1-3-53-2,899,1, -   , -   , -   , -   
2134808-2,K2-5-2-1,899,1,15,23,0,35
2-292206-6,F2-5-37-2,899,1,14,23,2,708
1746941-1,C1-1-37-2,899,2,16,24,5,"1,969"
178289-6,B1-3-56-1,899,2,17,25,3,"1,218"
171190-5,J2-1-44-1,899,1, -   , -   , -   , -   
1746864-2,J2-5-48-2,899,1,22,28,4,"2,711"
1376352-1,A2-5-28-1,898,7,15,23,0,35
1612121-1,A2-4-31-1,898,4,15,24,2,731
176143-2,B1-2-5-2,898,2,16,23,5,"1,850"
2363861-1,B2-0-31-1,898,1,16,23,5,"1,850"
178289-8,C1-4-36-1,898,1,16,23,5,"1,850"
1376366-2,D2-3-32-1,898,1,16,23,5,"1,850"
2260802-2,B1-2-40-2,898,2,16,23,5,"1,850"
